,time,engaged,part_of_team
config_exp_1_empshown,8,4,4
config_exp_10_empshown,5,5,5
config_exp_5_empshown,18,5,5
config_exp_8_empshown,3,6,6
config_exp_12_empshown,4,6,6
config_exp_3_empshown,3,6,6
config_exp_6_empshown,11,5,5
config_exp_2_empshown,2,6,6
config_exp_4_empshown,4,6,6
config_exp_7_empshown,1,6,6
config_exp_9_empshown,1,6,6
config_exp_11_empshown,2,6,6
config_exp_2,1,6,6
config_exp_8,2,6,6
config_exp_12,2,6,6
config_exp_11,1,6,6
config_exp_10,2,6,6
config_exp_6,1,6,6
config_exp_4,2,6,6
config_exp_3,1,6,6
config_exp_5,1,6,6
config_exp_9,0.1,6,6
config_exp_1,1,6,6
config_exp_7,0.5,6,6
