,time,engaged,part_of_team
config_exp_4,1,4,2
config_exp_3,0.7,4,2
config_exp_11,0.2,2,1
config_exp_12,5,4,2
config_exp_9,4,5,3
config_exp_5,5,4,3
config_exp_2,0.1,4,2
config_exp_1,0.5,2,2
config_exp_6,3,5,4
config_exp_8,2,5,3
config_exp_7,1,2,4
config_exp_10,0.5,4,4
config_exp_1_empshown,1,4,3
config_exp_6_empshown,2,4,2
config_exp_7_empshown,2,5,4
config_exp_5_empshown,3,4,2
config_exp_9_empshown,1,4,3
config_exp_11_empshown,0.1,2,1
config_exp_10_empshown,2,5,4
config_exp_4_empshown,4,2,3
config_exp_2_empshown,1,4,3
config_exp_8_empshown,2,5,2
config_exp_3_empshown,2,4,4
config_exp_12_empshown,5,5,1
