,time,engaged,part_of_team
config_exp_4_empshown,2,4,4
config_exp_12_empshown,1,5,5
config_exp_8_empshown,3,5,5
config_exp_3_empshown,3,5,5
config_exp_11_empshown,2,5,5
config_exp_7_empshown,3,4,4
config_exp_5_empshown,1,4,4
config_exp_10_empshown,3,4,4
config_exp_6_empshown,2,3,3
config_exp_1_empshown,4,4,3
config_exp_9_empshown,3,5,5
config_exp_2_empshown,3,2,2
config_exp_4,4,3,5
config_exp_7,3,4,4
config_exp_2,3,4,4
config_exp_6,2,3,5
config_exp_3,3.5,4,6
config_exp_1,3,5,5
config_exp_10,4,5,5
config_exp_11,3,4,5
config_exp_12,5,6,5
config_exp_5,2,4,4
config_exp_9,3.5,4,5
config_exp_8,3,5,4
