,time,engaged,part_of_team
config_exp_8_empshown,14,4,2
config_exp_1_empshown,3,3,4
config_exp_3_empshown,0,4,5
config_exp_9_empshown,1,5,5
config_exp_7_empshown,1,4,5
config_exp_6_empshown,1,4,6
config_exp_11_empshown,2,5,5
config_exp_10_empshown,2,5,5
config_exp_2_empshown,2,5,5
config_exp_12_empshown,0,6,5
config_exp_5_empshown,1,5,5
config_exp_4_empshown,0,4,4
config_exp_11,2,6,5
config_exp_9,4,4,5
config_exp_12,1,5,5
config_exp_10,1,5,4
config_exp_4,1,5,4
config_exp_3,3,4,4
config_exp_8,2,5,4
config_exp_1,3,4,4
config_exp_2,0,5,4
config_exp_6,1,5,5
config_exp_7,3,4,4
config_exp_5,2,5,4
