,time,engaged,part_of_team
config_exp_6,2,1,1
config_exp_3,1,3,3
config_exp_11,4,1,1
config_exp_7,5,3,4
config_exp_8,6,1,5
config_exp_5,3,5,3
config_exp_2,8,5,1
config_exp_9,0.4,5,3
config_exp_1,2.5,6,3
config_exp_10,2,3,5
config_exp_12,3,6,6
config_exp_4,2.2,5,3
config_exp_7_empshown,2,6,3
config_exp_1_empshown,0.4,6,2
config_exp_9_empshown,2,6,3
config_exp_11_empshown,5,3,3
config_exp_12_empshown,3,5,6
config_exp_5_empshown,1,4,1
config_exp_8_empshown,2,3,6
config_exp_4_empshown,0.8,5,5
config_exp_6_empshown,0.4,6,0
config_exp_2_empshown,1.5,5,3
config_exp_3_empshown,0.5,3,5
config_exp_10_empshown,2,3,5
