,time,engaged,part_of_team
config_exp_9,3,5,4
config_exp_5,5,5,4
config_exp_3,0.2,5,5
config_exp_7,0,6,2
config_exp_4,0.1,6,3
config_exp_12,1,5,3
config_exp_10,0,5,4
config_exp_11,0,5,3
config_exp_6,0,6,3
config_exp_2,0.2,6,2
config_exp_1,3,6,2
config_exp_8,1,6,2
config_exp_10_empshown,0.3,6,2
config_exp_5_empshown,0,5,2
config_exp_2_empshown,0,6,3
config_exp_9_empshown,0.1,6,3
config_exp_12_empshown,0,6,3
config_exp_4_empshown,0,6,3
config_exp_8_empshown,0.1,6,1
config_exp_3_empshown,0.2,6,1
config_exp_1_empshown,0,6,1
config_exp_6_empshown,0,6,1
config_exp_7_empshown,0.3,6,2
config_exp_11_empshown,2,6,4
