,time,engaged,part_of_team
config_exp_3,4,5,2
config_exp_8,0.5,4,2
config_exp_10,1,5,3
config_exp_12,1,4,1
config_exp_7,5,2,1
config_exp_5,10,2,1
config_exp_6,0.5,3,2
config_exp_9,3.5,4,3
config_exp_1,0.5,3,2
config_exp_4,1,5,5
config_exp_2,0.5,5,4
config_exp_11,3.5,4,5
config_exp_1_empshown,1.5,6,5
config_exp_9_empshown,1,5,5
config_exp_8_empshown,4,5,5
config_exp_3_empshown,6,4,5
config_exp_11_empshown,4.5,6,4
config_exp_7_empshown,7,4,3
config_exp_12_empshown,1,4,4
config_exp_5_empshown,12,4,2
config_exp_6_empshown,6,5,3
config_exp_2_empshown,3,5,3
config_exp_10_empshown,4,4,4
config_exp_4_empshown,15,4,3
